request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_179,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 41648000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 41430800.
request_180,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 66500 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 37300.
request_181,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 5059.2 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 2000.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Paying 65714 in full today keeps the balance at or above 31100 through 2025-11-03.
request_183,15835230.26,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 26866000 by the desired completion date or within the 90-day forecast. At most 15835230.26 is safe today while keeping the protected minimum balance of 11878300.
request_184,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 251900 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 110800.
request_185,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1257.3 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1300.
request_186,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 26554 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 22000.
request_187,23509.91,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Full payment of 187500 becomes safe on 2024-11-15, before the deadline 2024-11-15, and keeps the balance at or above 128300."
request_188,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 2464 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 900.
request_189,476.18,affordable_with_plan,partial_payment,2026-07-04:476.18|2026-07-15:12.22,2026-07-15,none,"Pay 476.18 today and 12.22 on 2026-07-15; the balance stays at or above 400 throughout, and the request completes by 2026-08-14."
request_190,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 2557.5 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1600.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Paying 664.4 in full today keeps the balance at or above 500 through 2025-08-01.
request_192,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 2046 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1000.
request_193,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1212.2 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1000.
request_194,11769.03,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 132800 by the desired completion date or within the 90-day forecast. At most 11769.03 is safe today while keeping the protected minimum balance of 113600.
request_195,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1170.4 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 700.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Paying 762.3 in full today keeps the balance at or above 500 through 2024-09-01.
request_197,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 50939000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 26245900.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Paying 185800 in full today keeps the balance at or above 124300 through 2026-10-05.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use payment option payment_option_569: 3 payments of 8206986.67 starting 2024-09-07, total 24620960.01, completing 2024-11-08 while keeping at least 25359500."
request_200,20556136.34,affordable_later,wait,2025-02-15:21717000,2025-02-15,none,"Full payment of 21717000 becomes safe on 2025-02-15, before the deadline 2025-04-10, and keeps the balance at or above 20114600."
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Paying 23997000 in full today keeps the balance at or above 17304500 through 2026-07-02.
request_202,98086.98,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 123900 by the desired completion date or within the 90-day forecast. At most 98086.98 is safe today while keeping the protected minimum balance of 147800.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use payment option payment_option_583: 3 payments of 499.93 starting 2025-05-10, total 1499.79, completing 2025-07-05 while keeping at least 1400."
request_204,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 588.74 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1300.
request_205,6108718.11,affordable_later,wait,2024-05-15:10621000,2024-05-15,none,"Full payment of 10621000 becomes safe on 2024-05-15, before the deadline 2024-05-19, and keeps the balance at or above 13994300."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use payment option payment_option_592: 3 payments of 486.96 starting 2025-08-03, total 1460.88, completing 2025-09-28 while keeping at least 900."
request_207,2143.64,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Full payment of 11830 becomes safe on 2026-07-15, before the deadline 2026-07-24, and keeps the balance at or above 13600."
request_208,41462.77,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 4413000 by the desired completion date or within the 90-day forecast. At most 41462.77 is safe today while keeping the protected minimum balance of 10470700.
request_209,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 56914 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 18400.
request_210,387.93,affordable_with_plan,partial_payment,2026-04-06:387.93|2026-04-15:972.09,2026-04-15,none,"Pay 387.93 today and 972.09 on 2026-04-15; the balance stays at or above 2000 throughout, and the request completes by 2026-06-23."
request_211,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1788.6 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1500.
request_212,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 71934000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 29579800.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use payment option payment_option_610: 3 payments of 1165.63 starting 2026-01-21, total 3496.89, completing 2026-03-22 while keeping at least 2100."
request_214,4262.23,affordable_with_plan,partial_payment,2024-12-04:4262.23|2025-01-15:65487.77,2025-01-15,none,"Pay 4262.23 today and 65487.77 on 2025-01-15; the balance stays at or above 174900 throughout, and the request completes by 2025-01-28."
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use payment option payment_option_616: 3 payments of 10395.15 starting 2025-05-09, total 31185.45, completing 2025-07-04 while keeping at least 15700."
request_216,301.6,affordable_later,wait,2026-09-15:3332.4,2026-09-15,none,"Full payment of 3332.4 becomes safe on 2026-09-15, before the deadline 2026-09-15, and keeps the balance at or above 1800."
request_217,9755.22,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 37180 by the desired completion date or within the 90-day forecast. At most 9755.22 is safe today while keeping the protected minimum balance of 26800.
request_218,10763315.44,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 61142000 by the desired completion date or within the 90-day forecast. At most 10763315.44 is safe today while keeping the protected minimum balance of 34477200.
request_219,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1673.1 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1100.
request_220,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 3118.5 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1100.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Paying 109800 in full today keeps the balance at or above 81500 through 2026-02-01.
request_222,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 34078 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 27300.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Paying 898.7 in full today keeps the balance at or above 800 through 2024-12-06.
request_224,306483.54,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 10327000 by the desired completion date or within the 90-day forecast. At most 306483.54 is safe today while keeping the protected minimum balance of 22187600.
request_225,2000883.54,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 22059000 by the desired completion date or within the 90-day forecast. At most 2000883.54 is safe today while keeping the protected minimum balance of 17670700.
request_226,72098.49,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 157000 by the desired completion date or within the 90-day forecast. At most 72098.49 is safe today while keeping the protected minimum balance of 209400.
request_227,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 259700 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 62900.
request_228,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 63327000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 26191200.
request_229,86.47,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1526.8 by the desired completion date or within the 90-day forecast. At most 86.47 is safe today while keeping the protected minimum balance of 1000.
request_230,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 3537.6 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 2000.
request_231,23636.12,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 35706 by the desired completion date or within the 90-day forecast. At most 23636.12 is safe today while keeping the protected minimum balance of 24300.
request_232,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1970.1 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 2400.
request_233,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 6241000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 10365700.
request_234,103.1,affordable_later,wait,2026-09-15:1213.3,2026-09-15,none,"Full payment of 1213.3 becomes safe on 2026-09-15, before the deadline 2026-09-15, and keeps the balance at or above 700."
request_235,734.28,affordable_later,wait,2024-10-15:967.2,2024-10-15,none,"Full payment of 967.2 becomes safe on 2024-10-15, before the deadline 2024-10-25, and keeps the balance at or above 700."
request_236,2687596.61,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 52383000 by the desired completion date or within the 90-day forecast. At most 2687596.61 is safe today while keeping the protected minimum balance of 16768600.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Paying 23826000 in full today keeps the balance at or above 22431500 through 2026-07-04.
request_238,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 663.6 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 700.
request_239,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 642 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 600.
request_240,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 101200 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 52800.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use payment option payment_option_695: 3 payments of 7298026.67 starting 2024-03-17, total 21894080.01, completing 2024-05-18 while keeping at least 19252000."
request_242,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1966.8 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 600.
request_243,16638.53,affordable_later,wait,2026-07-15:17468,2026-07-15,none,"Full payment of 17468 becomes safe on 2026-07-15, before the deadline 2026-08-09, and keeps the balance at or above 19900."
request_244,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 49918 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 45900.
request_245,745.36,affordable_later,wait,2026-01-15:128500,2026-01-15,none,"Full payment of 128500 becomes safe on 2026-01-15, before the deadline 2026-01-15, and keeps the balance at or above 94600."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use payment option payment_option_710: 3 payments of 22216.48 starting 2026-04-03, total 66649.44, completing 2026-06-02 while keeping at least 39300."
request_247,787.29,affordable_later,wait,2024-09-15:1059.3,2024-09-15,none,"Full payment of 1059.3 becomes safe on 2024-09-15, before the deadline 2024-11-08, and keeps the balance at or above 1300."
request_248,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1965.6 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1300.
request_249,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 643.2 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 600.
request_250,9378.49,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 124278 by the desired completion date or within the 90-day forecast. At most 9378.49 is safe today while keeping the protected minimum balance of 35300.
request_251,1513.6,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1513.6 by the desired completion date or within the 90-day forecast. At most 1513.6 is safe today while keeping the protected minimum balance of 1300.
request_252,415045.49,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Full payment of 28082000 becomes safe on 2026-09-15, before the deadline 2026-09-15, and keeps the balance at or above 15152200."
request_253,762.27,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 2840.2 by the desired completion date or within the 90-day forecast. At most 762.27 is safe today while keeping the protected minimum balance of 2300.
request_254,142.7,affordable_later,wait,2025-10-15:3535.2,2025-10-15,none,"Full payment of 3535.2 becomes safe on 2025-10-15, before the deadline 2025-10-15, and keeps the balance at or above 2500."
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Paying 3345000 in full today keeps the balance at or above 9813900 through 2026-07-05.
request_256,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 218700 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 168600.
request_257,136.01,affordable_later,wait,2026-01-15:1352.4,2026-01-15,none,"Full payment of 1352.4 becomes safe on 2026-01-15, before the deadline 2026-01-15, and keeps the balance at or above 1600."
request_258,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1113.6 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 500.
request_259,118.84,affordable_later,wait,2024-11-15:935,2024-11-15,none,"Full payment of 935 becomes safe on 2024-11-15, before the deadline 2024-11-15, and keeps the balance at or above 600."
request_260,2045317.61,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 52079000 by the desired completion date or within the 90-day forecast. At most 2045317.61 is safe today while keeping the protected minimum balance of 20727700.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Paying 1830.4 in full today keeps the balance at or above 1500 through 2026-10-01.
request_262,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 9236000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 31018500.
request_263,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 51546 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 24100.
request_264,2670.12,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Full payment of 111300 becomes safe on 2026-06-15, before the deadline 2026-06-15, and keeps the balance at or above 59500."
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Paying 45970 in full today keeps the balance at or above 189700 through 2024-06-04.
request_266,559.39,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 935 by the desired completion date or within the 90-day forecast. At most 559.39 is safe today while keeping the protected minimum balance of 900.
request_267,1074.11,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1925 by the desired completion date or within the 90-day forecast. At most 1074.11 is safe today while keeping the protected minimum balance of 1500.
request_268,810.23,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 2426.6 by the desired completion date or within the 90-day forecast. At most 810.23 is safe today while keeping the protected minimum balance of 1400.
request_269,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 15490 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 23100.
request_270,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 3028.8 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1400.
request_271,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 91300 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 58200.
request_272,3053524.38,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 13585000 by the desired completion date or within the 90-day forecast. At most 3053524.38 is safe today while keeping the protected minimum balance of 7508600.
request_273,5142265.12,affordable_with_plan,partial_payment,2026-04-07:5142265.12|2026-04-15:10718734.88,2026-04-15,none,"Pay 5142265.12 today and 10718734.88 on 2026-04-15; the balance stays at or above 18774600 throughout, and the request completes by 2026-06-15."
request_274,1351.3,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 2713.7 by the desired completion date or within the 90-day forecast. At most 1351.3 is safe today while keeping the protected minimum balance of 1800.
request_275,13800471.72,affordable_later,wait,2025-05-15:15884000,2025-05-15,none,"Full payment of 15884000 becomes safe on 2025-05-15, before the deadline 2025-07-22, and keeps the balance at or above 12760100."
